mysql> SELECT * FROM MenuPageClean WHERE menu_id NOT IN (SELECT id FROM menuclean);
+-------+---------+-------------+-----------------+-------------+------------+
| id    | menu_id | page_number | image_id        | full_height | full_width |
|  1022 |   12744 |           2 | 4000008206      |        2837 |       1891 |
|  1023 |   12744 |           1 | 475847          |        2895 |       1930 |
|  1072 |   12760 |           2 | 4000009367      |        2257 |       1577 |
|  1073 |   12760 |           1 | 467020          |        2260 |       1604 |
|  1074 |   12761 |           2 | 4000009368      |        2949 |       1955 |
|  1075 |   12761 |           1 | 467021          |        2961 |       1933 |
|  1076 |   12762 |           2 | 4000009369      |        2936 |       1958 |
|  1077 |   12762 |           1 | 467022          |        2930 |       1936 |
|  1114 |   12777 |           2 | 4000008670      |        2822 |       1896 |
|  1115 |   12777 |           1 | 466632          |        2850 |       1912 |
|  1118 |   12779 |           2 | 4000007998      |        3143 |       2358 |
|  1119 |   12779 |           1 | 475692          |        3130 |       2351 |
|  1138 |   12785 |           2 | 4000008015      |        2792 |       2251 |
|  1139 |   12785 |           1 | 475701          |        2801 |       2302 |
|  1168 |   12796 |           2 | 4000008982      |        2062 |       1693 |
|  1169 |   12796 |           1 | 466807          |        2101 |       1713 |
|  1212 |   12813 |           2 | 4000009390      |        2906 |       2454 |
|  1213 |   12813 |           1 | 467040          |        2892 |       2418 |
|  1240 |   12822 |           2 | 4000009411      |        3541 |       2356 |
|  1241 |   12822 |           1 | 467051          |        3566 |       2336 |
|  1242 |   12823 |           2 | 4000009412      |        4563 |       3014 |
|  1243 |   12823 |           1 | 467055          |        4535 |       3042 |
|  1262 |   12829 |           2 | 4000008449      |        2833 |       2389 |
|  1263 |   12829 |           1 | 466458          |        2776 |       2372 |
|  1264 |   12830 |           2 | 4000008452      |        3907 |       2521 |
|  1265 |   12830 |           1 | 466459          |        3900 |       2532 |
|  1268 |   12832 |           2 | 4000008454      |        3737 |       2898 |
|  1269 |   12832 |           1 | 466461          |        3752 |       2965 |
|  1404 |   12890 |           2 | 4000008221      |        2891 |       2496 |
|  1405 |   12890 |           1 | 475864          |        2925 |       2387 |
|  1468 |   12914 |           2 | 4000008064      |        3102 |       1897 |
|  1469 |   12914 |           1 | 475726          |        3286 |       1901 |
|  1508 |   12929 |           2 | 4000008256      |        3831 |       2918 |
|  1509 |   12929 |           1 | 475890          |        3861 |       2893 |
|  1520 |   12934 |           2 | 4000008283      |        2869 |       2087 |
|  1521 |   12934 |           1 | 475899          |        3052 |       2136 |
|  1522 |   12935 |           2 | 4000008284      |        2884 |       2095 |
|  1523 |   12935 |           1 | 475900          |        2854 |       2094 |
|  1524 |   12936 |           2 | 4000008285      |        1973 |       1289 |
|  1525 |   12936 |           1 | 475901          |        1960 |       1273 |
|  1530 |   12939 |           2 | 4000009428      |        2953 |       2303 |
|  1531 |   12939 |           1 | 467063          |        2916 |       2252 |
|  1536 |   12942 |           2 | 4000009466      |        2696 |       2004 |
|  1537 |   12942 |           1 | 467083          |        2691 |       1992 |
|  1616 |   12977 |           2 | 4000008718      |        2919 |       2295 |
|  1617 |   12977 |           1 | 466666          |        2940 |       2276 |
|  1630 |   12981 |           2 | 4000008728      |        3120 |       4301 |
|  1631 |   12981 |           1 | 466670          |        3043 |       4207 |
|  1646 |   12989 |           2 | 4000008749      |        3300 |       2186 |
|  1647 |   12989 |           1 | 466685          |        3303 |       2191 |
|  1648 |   12990 |           2 | 4000008090      |        3821 |       2626 |
|  1649 |   12990 |           1 | 475744          |        3839 |       2595 |
|  1676 |   13000 |           2 | 4000009044      |        4591 |       2541 |
|  1677 |   13000 |           1 | 466854          |        4544 |       2540 |
|  1712 |   13010 |           2 | 4000009531      |        2857 |       2292 |
|  1713 |   13010 |           1 | 467126          |        2871 |       2248 |
|  1714 |   13011 |           2 | 4000009534      |        3394 |       2738 |
|  1715 |   13011 |           1 | 467127          |        3416 |       2607 |
|  1740 |   13019 |           2 | 4000009564      |        2307 |       1395 |
|  1741 |   13019 |           1 | 467147          |        2294 |       1381 |
|  1774 |   13036 |           2 | 4000008751      |        3686 |       3007 |
|  1775 |   13036 |           1 | 466687          |        3721 |       3012 |
|  1832 |   13048 |           2 | 4000008294      |        2910 |       2177 |
|  1833 |   13048 |           1 | 475904          |        2874 |       2158 |
|  1854 |   13055 |           2 | 4000008314      |        3284 |       2686 |
|  1855 |   13055 |           1 | 475917          |        3325 |       2658 |
|  1856 |   13056 |           2 | 4000008315      |        2862 |       2260 |
|  1857 |   13056 |           1 | 475918          |        2862 |       2445 |
|  1902 |   13068 |           2 | 4000008344      |        2884 |       2163 |
|  1903 |   13068 |           1 | 475923          |        2883 |       2142 |
|  1970 |   13095 |           2 | 4000009594      |        3061 |       2252 |
|  1971 |   13095 |           1 | 467168          |        3039 |       2174 |
|  1972 |   13096 |           2 | 4000009594      |        3061 |       2252 |
|  1973 |   13096 |           1 | 467168          |        3039 |       2174 |
|  1990 |   13104 |           2 | 4000008560      |        1824 |       2738 |
|  1991 |   13104 |           1 | 466539          |        2734 |       1852 |
|  2034 |   13124 |           2 | 4000008139      |        1801 |       2695 |
|  2035 |   13124 |           1 | 475792          |        2751 |       1839 |
|  2048 |   13131 |           2 | 4000009094      |        2926 |       2325 |
|  2049 |   13131 |           1 | 466892          |        2329 |       2931 |
|  2076 |   13138 |           2 | 4000009129      |        3688 |       3168 |
|  2077 |   13138 |           1 | 466909          |        3819 |       3113 |
|  2096 |   13144 |           2 | 4000009627      |        2789 |       2066 |
|  2097 |   13144 |           1 | 467187          |        2796 |       2115 |
|  2114 |   13152 |           2 | 4000009637      |        2825 |       2847 |
|  2115 |   13152 |           1 | 467195          |        2860 |       2859 |
|  2124 |   13156 |           2 | 4000008583      |        4102 |       1667 |
|  2125 |   13156 |           1 | 466558          |        4131 |       1603 |
|  2132 |   13159 |           2 | 4000008588      |        3210 |       2530 |
|  2133 |   13159 |           1 | 466561          |        3161 |       2510 |
|  2152 |   13163 |           2 | 4000008621      |        3850 |       2680 |
|  2153 |   13163 |           1 | 466576          |        3817 |       2703 |
|  2166 |   13169 |           2 | 4000008833      |        3101 |       2634 |
|  2167 |   13169 |           1 | 466722          |        3145 |       2596 |
|  2196 |   13174 |           2 | 4000008871      |        3309 |       2648 |
|  2197 |   13174 |           1 | 466734          |        3325 |       2565 |
|  2220 |   13183 |           2 | 4000009145      |        2970 |       2104 |
|  2221 |   13183 |           1 | 466917          |        2948 |       2127 |
|  2222 |   13184 |           2 | 4000009153      |        3102 |       2516 |
|  2223 |   13184 |           1 | 466919          |        3066 |       2543 |
|  2234 |   13187 |           2 | 4000009165      |        2909 |       2438 |
|  2235 |   13187 |           1 | 466923          |        2879 |       2351 |
|  2236 |   13188 |           2 | 4000009166      |        2718 |       2273 |
|  2237 |   13188 |           1 | 466924          |        2720 |       2263 |
|  2240 |   13190 |           2 | 4000013474      |        3040 |       2140 |
|  2241 |   13190 |           1 | 471256          |        3022 |       2161 |
|  2262 |   13199 |           2 | 4000010320      |        2965 |       1940 |
|  2263 |   13199 |           1 | 468474          |        2920 |       1909 |
|  2264 |   13200 |           2 | 4000010321      |        3171 |       2362 |
|  2265 |   13200 |           1 | 468475          |        3166 |       2326 |
|  2302 |   13213 |           2 | 4000013929      |        2944 |       2373 |
|  2303 |   13213 |           1 | 471614          |        2940 |       2403 |
|  2324 |   13220 |           2 | 4000014196      |        3398 |       2437 |
|  2325 |   13220 |           1 | 471786          |        2955 |       2325 |
|  2330 |   13223 |           2 | 4000010037      |        3163 |       2214 |
|  2331 |   13223 |           1 | 468304          |        3126 |       2204 |
|  2348 |   13232 |           2 | 4000010049      |        2945 |       2080 |
|  2349 |   13232 |           1 | 468314          |        2966 |       2067 |
|  2388 |   13238 |           2 | 4000011075      |        3069 |       1715 |
|  2389 |   13238 |           1 | 469019          |        3065 |       1715 |
|  2452 |   13265 |           2 | 4000011270      |        2536 |       1251 |
|  2453 |   13265 |           1 | 476005          |        2561 |       1263 |
|  2500 |   13284 |           2 | 4000010798      |        3581 |       2282 |
|  2501 |   13284 |           1 | 468868          |        3519 |       2262 |
|  2514 |   13290 |           2 | 4000010824      |        3112 |       2205 |
|  2515 |   13290 |           1 | 468876          |        3138 |       2236 |
|  2568 |   13305 |           2 | 4000014799      |        3068 |       2141 |
|  2569 |   13305 |           3 | 4000014800      |        3109 |       2086 |
|  2570 |   13305 |           4 | 4000014801      |        3181 |       2254 |
|  2571 |   13305 |           1 | 469589          |        3234 |       2315 |
|  2580 |   13309 |           2 | 4000010825      |        1937 |       2636 |
|  2581 |   13309 |           3 | 4000010826      |        1951 |       2639 |
|  2582 |   13309 |           4 | 4000010827      |        1983 |       2455 |
|  2583 |   13309 |           5 | 4000010828      |        1972 |       2489 |
|  2584 |   13309 |           6 | 4000010829      |        1929 |       2510 |
|  2585 |   13309 |           7 | 4000010830      |        1980 |       2495 |
|  2586 |   13309 |           8 | 4000010831      |        1984 |       2579 |
|  2587 |   13309 |           9 | 4000010832      |        1969 |       2540 |
|  2588 |   13309 |          10 | 4000010833      |        2006 |       2570 |
|  2589 |   13309 |          11 | 4000010834      |        1952 |       2557 |
|  2590 |   13309 |          12 | 4000010835      |        1977 |       2549 |
|  2591 |   13309 |          13 | 4000010836      |        2007 |       2557 |
|  2592 |   13309 |          14 | 4000010837      |        1985 |       2518 |
|  2593 |   13309 |          15 | 4000010838      |        1972 |       2497 |
|  2594 |   13309 |          16 | 4000010839      |        1983 |       2528 |
|  2595 |   13309 |          17 | 4000010840      |        2483 |       2017 |
|  2596 |   13309 |          18 | 4000010841      |        1985 |       2558 |
|  2597 |   13309 |          19 | 4000010842      |        2479 |       1954 |
|  2598 |   13309 |          20 | 4000010843      |        1981 |       2540 |
|  2599 |   13309 |          21 | 4000010844      |        1972 |       2498 |
|  2600 |   13309 |          22 | 4000010845      |        1953 |       2496 |
|  2601 |   13309 |          23 | 4000010846      |        1998 |       2555 |
|  2602 |   13309 |          24 | 4000010847      |        1976 |       2549 |
